program,cost_center,cost_center_name,account,account_name,period,budget,actual
Criminal Operations,CC-4100,Courtroom Staffing,5100,Salaries — Regular,2026-01,213840,202809
Criminal Operations,CC-4100,Courtroom Staffing,5150,Salaries — Overtime,2026-01,29160,29160
Criminal Operations,CC-4100,Courtroom Staffing,5200,Benefits,2026-01,87480,84154
Criminal Operations,CC-4100,Courtroom Staffing,5400,Professional Services,2026-01,58320,57181
Criminal Operations,CC-4100,Courtroom Staffing,5600,Supplies,2026-01,24300,24090
Criminal Operations,CC-4100,Courtroom Staffing,5700,Equipment,2026-01,34020,32289
Criminal Operations,CC-4100,Courtroom Staffing,5800,Facilities & Utilities,2026-01,38880,36570
Criminal Operations,CC-4100,Courtroom Staffing,5100,Salaries — Regular,2026-02,213840,208159
Criminal Operations,CC-4100,Courtroom Staffing,5150,Salaries — Overtime,2026-02,29160,41407
Criminal Operations,CC-4100,Courtroom Staffing,5200,Benefits,2026-02,87480,83230
Criminal Operations,CC-4100,Courtroom Staffing,5400,Professional Services,2026-02,58320,57248
Criminal Operations,CC-4100,Courtroom Staffing,5600,Supplies,2026-02,24300,25620
Criminal Operations,CC-4100,Courtroom Staffing,5700,Equipment,2026-02,34020,32898
Criminal Operations,CC-4100,Courtroom Staffing,5800,Facilities & Utilities,2026-02,38880,40109
Criminal Operations,CC-4100,Courtroom Staffing,5100,Salaries — Regular,2026-03,213840,205022
Criminal Operations,CC-4100,Courtroom Staffing,5150,Salaries — Overtime,2026-03,29160,53654
Criminal Operations,CC-4100,Courtroom Staffing,5200,Benefits,2026-03,87480,92376
Criminal Operations,CC-4100,Courtroom Staffing,5400,Professional Services,2026-03,58320,59342
Criminal Operations,CC-4100,Courtroom Staffing,5600,Supplies,2026-03,24300,25700
Criminal Operations,CC-4100,Courtroom Staffing,5700,Equipment,2026-03,34020,33787
Criminal Operations,CC-4100,Courtroom Staffing,5800,Facilities & Utilities,2026-03,38880,37022
Criminal Operations,CC-4100,Courtroom Staffing,5100,Salaries — Regular,2026-04,213840,216965
Criminal Operations,CC-4100,Courtroom Staffing,5150,Salaries — Overtime,2026-04,29160,65902
Criminal Operations,CC-4100,Courtroom Staffing,5200,Benefits,2026-04,87480,85508
Criminal Operations,CC-4100,Courtroom Staffing,5400,Professional Services,2026-04,58320,58124
Criminal Operations,CC-4100,Courtroom Staffing,5600,Supplies,2026-04,24300,23824
Criminal Operations,CC-4100,Courtroom Staffing,5700,Equipment,2026-04,34020,34731
Criminal Operations,CC-4100,Courtroom Staffing,5800,Facilities & Utilities,2026-04,38880,40960
Criminal Operations,CC-4100,Courtroom Staffing,5100,Salaries — Regular,2026-05,213840,224285
Criminal Operations,CC-4100,Courtroom Staffing,5150,Salaries — Overtime,2026-05,29160,78149
Criminal Operations,CC-4100,Courtroom Staffing,5200,Benefits,2026-05,87480,90433
Criminal Operations,CC-4100,Courtroom Staffing,5400,Professional Services,2026-05,58320,54973
Criminal Operations,CC-4100,Courtroom Staffing,5600,Supplies,2026-05,24300,25565
Criminal Operations,CC-4100,Courtroom Staffing,5700,Equipment,2026-05,34020,34263
Criminal Operations,CC-4100,Courtroom Staffing,5800,Facilities & Utilities,2026-05,38880,37802
Criminal Operations,CC-4100,Courtroom Staffing,5100,Salaries — Regular,2026-06,213840,222762
Criminal Operations,CC-4100,Courtroom Staffing,5150,Salaries — Overtime,2026-06,29160,90396
Criminal Operations,CC-4100,Courtroom Staffing,5200,Benefits,2026-06,87480,88868
Criminal Operations,CC-4100,Courtroom Staffing,5400,Professional Services,2026-06,58320,57334
Criminal Operations,CC-4100,Courtroom Staffing,5600,Supplies,2026-06,24300,24935
Criminal Operations,CC-4100,Courtroom Staffing,5700,Equipment,2026-06,34020,33391
Criminal Operations,CC-4100,Courtroom Staffing,5800,Facilities & Utilities,2026-06,38880,38262
Criminal Operations,CC-4110,Case Processing,5100,Salaries — Regular,2026-01,93280,92774
Criminal Operations,CC-4110,Case Processing,5150,Salaries — Overtime,2026-01,12720,12254
Criminal Operations,CC-4110,Case Processing,5200,Benefits,2026-01,38160,38303
Criminal Operations,CC-4110,Case Processing,5400,Professional Services,2026-01,25440,25306
Criminal Operations,CC-4110,Case Processing,5600,Supplies,2026-01,10600,11001
