"Term","Definition","Category","Tags"
"Additive Intents","A closed, schema-constrained vocabulary of operations (e.g., AddRoute, AddExport) used by agents to modify shared files deterministically, bypassing the need for git merges on shared configurations.","Shared-File Governance","shared-file; intent; deterministic; principle-9"
"Advisory Finding","A non-blocking `Finding` (`severity=""advisory""`). Surfaced to whoever consumes the `GateResult` but never reopens the loop it was raised in and never flips `GateResult.passed` to False — it becomes a backlog item instead.","Schema & Contract","gateresult; finding; severity; loop-control"
"Agentic SDLC","The overall system this glossary describes: a specified, governed multi-agent pipeline that carries a software change from plan to production, with a maker paired to a checker at every artifact-producing step.","Core Principle","pipeline; scope"
"Baseline Delta","The computed difference between a run's test-suite shape (test count, skip count, coverage) and its pre-run `Baseline Snapshot`. What `Baseline Guard` actually checks — distinct from the snapshot itself, which is the reference point, not the comparison.","Test Harness","baseline; anti-deletion; test-harness; baseline-guard"
"Baseline Guard","The Validator agent that checks `Baseline Delta` — test counts, skip counts, coverage — against the pre-run snapshot, guarding against an agent silently deleting or skipping a test to reach green.","Agent Role","agent; validator; anti-deletion; test-harness"
"Baseline Snapshot","The known-good state of the execution environment (e.g., a completely fresh browser context, cleared local storage, closed DOM modals) captured at t=0 of a test. Used to detect state leakage.","Test Harness","baseline; test-harness; state-leakage"
"Blocking Context","The specific claim an agent already holds on a shared-file path (its route, export name, or binding interface), returned to a colliding submitter by Smart Mutex Rejection so the collision can be resolved in one shot rather than restarting a planning cycle. Not to be confused with a Blocking Finding — this is rejection metadata, not a review verdict.","Shared-File Governance","shared-file; intent; rejection; smart-mutex"
"Blocking Finding","A `Finding` (`severity=""blocking""`) that flips `GateResult.passed` to False and reopens the generator/validator loop it was raised in. The only kind of finding that gates anything.","Schema & Contract","gateresult; finding; severity; loop-control"
"Boundary Failure","A failure mode indicating that task boundaries were drawn incorrectly. A standard git merge conflict on purportedly disjoint files is treated as a boundary failure, escalating back to the Task Decomposer.","Loop & Escalation","merge-conflict; task-decomposer; escalation; principle-4"
"Budget Accountant","The standing Utility agent that monitors token, dollar, and wall-clock spend across every agent in a run and can trigger a `Ceiling Halt`. The same circuit-breaking philosophy also governs individual loop-back edges (`Loop Ceiling`).","Agent Role","agent; utility; budget; ceiling-halt"
"Ceiling Halt","A hard stop triggered by the Budget Accountant agent when a pipeline run exceeds predefined thresholds for token usage, dollar cost, or wall-clock time.","Budget & Cost","budget; circuit-breaker; principle-7; never-silent"
"Context Isolation","The architectural principle of separating the Context Gatherer's retrieval window from the Core Orchestrator and Plan Writer windows to prevent token bloat and context rot.","Context & Retrieval","context; orchestrator; principle-2"
"Context Rot","The degradation of a model's reasoning quality as its context window fills with stale, irrelevant, or merely voluminous material — the failure `Context Isolation` exists to prevent by keeping retrieval in its own window rather than the orchestrator's.","Context & Retrieval","context; failure-mode; retrieval"
"Contract Freeze","A human-gated review step following task decomposition where interface contracts, and any anticipated shared-file changes, are locked before implementation begins, preventing tasks from diverging from their agreed boundaries mid-build.","Process (Phase & Gate)","human-gate; interface-map; phase-2; phase-3"
